,file,category,features,feat_len,category
84,data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/Last_addCat129587Res_aug1(1).mp3,cat,"[-182.73074340820312, 84.72416687011719, -21.980276107788086, -1.4206098318099976, -1.6792852878570557, -8.510652542114258, -10.93999195098877, -11.275821685791016, -1.6717344522476196, -1.2853193283081055, -7.337551116943359, -7.151467323303223, -2.9817445278167725, -5.909440517425537, -3.213228702545166, -4.1883697509765625, -8.210454940795898, -5.660312175750732, -7.42470121383667, -5.757980823516846, 2.9735238552093506, 0.646575391292572, -0.16097205877304077, 0.060681335628032684, -0.03154085949063301, -0.11962723731994629, -0.1325071007013321, -0.14347708225250244, 0.0707673653960228, 0.06685955822467804, 0.01526410598307848, -0.032956562936306, -0.01627945527434349, -0.1195765882730484, -0.12648895382881165, -0.07893456518650055, -0.021691512316465378, -0.006266433745622635, 0.03004419058561325, 0.043040405958890915, -0.01391359232366085, 0.01921425387263298, 0.02805306576192379, 0.018420729786157608, 0.030972493812441826, 0.0203535333275795, -0.02408364973962307, 0.0442587211728096, -0.010173555463552475, -0.019099045544862747, -0.017160216346383095, -0.006698281038552523, -0.005525065120309591, -0.016572916880249977, -0.022840816527605057, 0.03425774723291397, 0.010298473760485649, 0.01192136388272047, -0.0034985640086233616, 0.0019320625578984618, 1969.7342838361706, 0.15490539371967316, 3793.8259177011987]",63,cat
800,data/audio_cat-classification/NAYA_DATA_AUG1X/Defence/Cat_Hiss100613.mp3,cat,"[-380.40960693359375, 49.64463806152344, 15.122194290161133, 7.935657978057861, 6.253054618835449, 7.6877217292785645, -4.639066219329834, 1.0762698650360107, -0.9307369589805603, 5.806509971618652, -0.5152102112770081, -1.3576550483703613, -2.6762406826019287, -0.804498553276062, -1.6996060609817505, -0.8735693097114563, 0.28081926703453064, 0.3853071331977844, -0.04590217024087906, 1.6063259840011597, -0.31844183802604675, 0.22703886032104492, 0.21012094616889954, -0.09216649830341339, 0.09178920835256577, -0.13800813257694244, 0.09428057819604874, -0.11706170439720154, -0.11313830316066742, 0.05738513916730881, -0.02833363227546215, -0.040702369064092636, -0.0377846397459507, -0.16149842739105225, 0.12420124560594559, -0.08163010329008102, -0.06765872985124588, 0.09589755535125732, -0.129701629281044, -0.03634584695100784, -0.21595655381679535, 0.09462229162454605, 0.047843895852565765, -0.037758082151412964, -0.06128041073679924, -0.048502322286367416, 0.04837970808148384, -0.05226654186844826, -0.022523662075400352, -0.016074029728770256, -0.1325540840625763, -0.020084524527192116, 0.028270665556192398, 0.02895493432879448, 0.03171059116721153, 0.006262620445340872, -0.032757051289081573, -0.023694999516010284, -0.018078094348311424, 0.052353352308273315, 3875.8739300530474, 0.16960863769054413, 7985.141958841464]",63,cat
553,data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/Online_Cat0515Hlp_aug1(1).mp3,cat,"[-257.6430969238281, 93.1336441040039, -37.51633834838867, 3.273186683654785, 15.649343490600586, -11.401349067687988, -3.0104310512542725, 1.8048611879348755, -5.278491973876953, -6.276451587677002, -17.23862075805664, -0.8026749491691589, 4.716641902923584, 22.50248908996582, 8.176775932312012, 14.407550811767578, -11.237011909484863, -1.0123968124389648, -3.6877777576446533, 12.371810913085938, 10.418252944946289, 3.0542993545532227, -1.5485037565231323, -0.18720747530460358, 0.17084969580173492, -0.7123166918754578, -1.084071159362793, 0.12185114622116089, 0.17771033942699432, -0.4499538838863373, -0.9537588357925415, -0.6299393773078918, -0.12020973116159439, 0.3887144923210144, 0.3997248709201813, 0.6448991298675537, 0.6341170072555542, 0.042404938489198685, -0.5821717977523804, 0.3192386031150818, -3.101719617843628, -1.1906994581222534, -0.008109299466013908, -0.22234700620174408, -0.15995626151561737, -0.290005624294281, -0.18669754266738892, 0.02212124690413475, 0.16946199536323547, -0.16137449443340302, -0.1470181941986084, -0.30016013979911804, -0.27232131361961365, -0.2048446089029312, 0.2612244188785553, 0.2644723355770111, 0.38755762577056885, 0.423921674489975, 0.03471273183822632, -0.3305724263191223, 1736.7031120109577, 0.05406670644879341, 2500.401547080592]",63,cat
2721,data/audio_cat-classification/NAYA_DATA_AUG1X/Warning/car_extcoll0291_aug1(1).mp3,cat,"[-144.74188232421875, 140.60877990722656, -28.03255844116211, 3.7079811096191406, -31.2069149017334, -5.43527364730835, -21.825040817260742, 3.492001533508301, -9.963056564331055, -8.352672576904297, -16.82356834411621, -1.6420084238052368, -16.296682357788086, -0.7991253733634949, -7.906291961669922, 2.7941837310791016, -12.014399528503418, -0.8270854949951172, -7.503810405731201, -2.305856466293335, 0.07789670675992966, -0.04836227744817734, 0.033178336918354034, -0.021474124863743782, -0.015585551038384438, 0.023448964580893517, 0.002138629322871566, 0.009392835199832916, -0.015377960167825222, -0.006614584010094404, 0.0110812122002244, 0.018004290759563446, 0.005021598190069199, -0.009505648165941238, -0.06446534395217896, 0.0078668724745512, 0.010409008711576462, 0.04752446338534355, -0.009852859191596508, -0.01446068100631237, -0.3730911314487457, -0.026588352397084236, 0.0081279082223773, 0.008999057114124298, 0.012703882530331612, 0.010036244057118893, 0.03031463362276554, -0.01474001631140709, 0.049940988421440125, -0.0021977529395371675, 0.029332298785448074, -0.0014083595015108585, 0.015952805057168007, -0.011710526421666145, 0.029515238478779793, -0.00431951554492116, 0.008054651319980621, -0.01205240935087204, 0.005005460698157549, -0.0070673213340342045, 1555.7975714140046, 0.005727487616240978, 2890.334504921531]",63,cat
4776,data/audio_cat-classification/NAYA_DATA_AUG1X/MotherCall/Last_addCat266Pill.mp3,cat,"[-387.6160888671875, 51.64339065551758, 7.233912944793701, 9.721437454223633, -0.007059662137180567, 4.824539661407471, 2.406043291091919, 3.556783437728882, 2.488055467605591, 1.7828092575073242, -4.140233516693115, -4.928547382354736, -0.1330704689025879, -2.535144805908203, 0.211361825466156, -0.39257946610450745, 1.5305219888687134, 0.30839723348617554, -1.0252838134765625, 3.301703453063965, 0.3152427077293396, 0.10670347511768341, 0.009998148307204247, 0.023722847923636436, 0.08003609627485275, 0.1095438003540039, 0.007868478074669838, -0.12271387875080109, -0.057678647339344025, -0.08991234749555588, -0.07548419386148453, 0.08123189210891724, 0.0773664340376854, 0.005885320249944925, -0.10613784939050674, 0.012359170243144035, 0.010504626668989658, -0.05874833092093468, -0.012715577147901058, 0.03310101851820946, -0.13160152733325958, -0.007168736774474382, -0.019438188523054123, -0.022456742823123932, -0.022682901471853256, -0.009636822156608105, 0.017339510843157768, 0.007590431720018387, -0.03472529724240303, -0.009946117177605629, -0.022576892748475075, 0.0021367946173995733, 0.027213292196393013, 0.04069458693265915, 0.011788733303546906, -0.03490087762475014, -0.012264871038496494, 0.02801317535340786, -0.0043860324658453465, -0.05470138415694237, 3707.3104758930526, 0.1467454433441162, 7620.878191692073]",63,cat
3049,data/audio_cat-classification/NAYA_DATA_AUG1X/Angry/car_extcoll0174_aug1(1).mp3,cat,"[-171.22621154785156, 151.06605529785156, -44.534812927246094, 34.3471565246582, -29.040843963623047, 18.812732696533203, 6.911881923675537, -9.415356636047363, 24.25794219970703, -0.4658656418323517, 7.3709716796875, 1.0833654403686523, 1.0208691358566284, 2.784254789352417, -1.9768083095550537, 3.8762128353118896, 0.49508291482925415, 1.9541916847229004, -2.18847393989563, -1.1779004335403442, 0.2963928282260895, 0.09184382110834122, -0.0737108588218689, 0.05147192254662514, -0.04218617454171181, -0.0034413617104291916, 0.007024663966149092, 0.010207254439592361, 0.020419221371412277, -0.026987720280885696, -0.0019522610818967223, -0.010881570167839527, 0.017350807785987854, 0.013416268862783909, -0.018595028668642044, 0.007961170747876167, -0.025784192606806755, 0.0014144224114716053, 0.008819282986223698, -0.0284440740942955, 0.5744927525520325, 0.23922818899154663, -0.08567960560321808, 0.0664735808968544, -0.0668649822473526, -0.0070214467123150826, -0.005643470212817192, -0.017016282305121422, 0.020836947485804558, -0.04806419834494591, 0.002704306272789836, 0.00017148607003036886, 0.007346266880631447, 0.0536244735121727, 0.038694966584444046, 0.02694103494286537, -0.0034607297275215387, -0.006048668175935745, 0.007045048289000988, 0.015903986990451813, 1342.7885379447123, 0.06196631118655205, 2859.482709099265]",63,cat
5341,data/audio_cat-classification/NAYA_DATA_AUG1X/Resting/cat_flickr01382_aug1(1).mp3,cat,"[-355.6066589355469, 124.14335632324219, 28.51283073425293, 24.359952926635742, -6.462849140167236, 14.662758827209473, -5.9457011222839355, 9.270520210266113, -13.733492851257324, 6.871757984161377, -9.898360252380371, 7.852685451507568, -5.886949062347412, -1.5192375183105469, -7.097387313842773, -1.038824200630188, -11.975920677185059, 6.772695541381836, -4.619563102722168, 3.2603533267974854, -2.361675500869751, -0.8084423542022705, -0.20494812726974487, -0.22504468262195587, 0.07331549376249313, -0.23438917100429535, 0.10700056701898575, -0.10517783463001251, 0.0655410885810852, -0.046565428376197815, 0.07647521793842316, -0.034714244306087494, 0.06599938124418259, 0.021891223266720772, 0.032755929976701736, 0.018856601789593697, 0.075385183095932, -0.0018330595921725035, 0.0215334203094244, -0.007165140938013792, -0.29054024815559387, -0.04803556576371193, 0.042197030037641525, -0.02675047516822815, -0.011006579734385014, -0.0034165324177592993, 0.043630409985780716, 0.01251082494854927, 0.03788259997963905, -0.031762607395648956, -0.0014540255069732666, -0.016065968200564384, 0.007345977239310741, -0.009637441486120224, 0.028209399431943893, 0.0169354360550642, 0.00968107394874096, 0.004896213300526142, -0.0009066110360436141, 0.006779063958674669, 1043.3534555187368, 0.15306806564331055, 2001.1808915571733]",63,cat
2316,data/audio_cat-classification/NAYA_DATA_AUG1X/Mating/YashLL_Cat0242Mating.mp3,cat,"[-409.18023681640625, 43.386207580566406, 13.30276107788086, 1.449997901916504, 7.265832901000977, -13.415243148803711, 4.6665730476379395, -15.370379447937012, -5.304101467132568, -6.39890193939209, -7.945197105407715, -3.296335458755493, -5.483357906341553, -2.842477798461914, -5.458676338195801, -2.991382598876953, -3.8637447357177734, -4.847211837768555, -0.6999695897102356, -4.9511895179748535, 0.4110071659088135, 0.07201538980007172, 0.012163451872766018, 0.03715774789452553, -0.029995523393154144, -0.014893499203026295, -0.038546089082956314, -0.09120836853981018, -0.01911463961005211, 0.005161177832633257, -0.02146017737686634, -0.010172775946557522, 0.004800587892532349, 0.0299519170075655, 0.00870930589735508, 0.04060317948460579, 0.01094950083643198, -0.01569565013051033, -0.01315613929182291, 0.007337858434766531, -0.37037286162376404, -0.022024424746632576, -0.012781444005668163, -0.020131835713982582, 0.005378056317567825, -0.008479557000100613, -0.0007812699186615646, 0.027291301637887955, 0.008678019978106022, 0.023874955251812935, 0.03126295283436775, -0.021709062159061432, -0.027402836829423904, -0.01688474230468273, 0.007013197522610426, 0.00987182091921568, 0.01576583832502365, 0.003522068029269576, 0.017313631251454353, -0.00596466613933444, 4648.352462826814, 0.2686763405799866, 9487.807144657258]",63,cat
157,data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/cat_flickr0194_aug1(1).mp3,cat,"[-341.5890808105469, 48.02158737182617, -8.897668838500977, 24.52135467529297, 29.269561767578125, 16.633464813232422, -2.026712417602539, 13.257404327392578, 3.633326768875122, 11.040000915527344, -10.50755786895752, 5.612675189971924, 6.572759628295898, 11.976503372192383, 5.520655632019043, -0.5535500049591064, -1.808799386024475, -1.739047884941101, -1.2483829259872437, 2.764178514480591, -2.5659189224243164, -0.4012834131717682, 0.0784580186009407, -0.07622931152582169, -0.21899636089801788, -0.10231062024831772, 0.017380889505147934, -0.11006432771682739, 0.05112573876976967, -0.09442232549190521, -0.0589895062148571, -0.09696366637945175, 0.0763423964381218, 0.005987612530589104, 0.06542817503213882, 0.05332913249731064, 0.10756484419107437, -0.07069266587495804, -0.0003350359038449824, 0.025869913399219513, -0.5169451832771301, -0.01761246658861637, 0.038878846913576126, -0.0025729655753821135, -0.023139195516705513, -0.00977921299636364, -0.030958589166402817, 0.03223004564642906, 0.016565661877393723, -0.07138386368751526, -0.019014568999409676, 0.07915160059928894, 0.01016823761165142, 0.02012975513935089, 0.01442697737365961, 0.008063576184213161, -0.09080594033002853, -0.04052793234586716, 0.002709859749302268, 0.02100478671491146, 2552.460087855741, 0.1108875423669815, 5507.410333806818]",63,cat
1657,data/audio_cat-classification/NAYA_DATA_AUG1X/Happy/cat_140_aug1(1).mp3,cat,"[-204.87017822265625, 88.28704071044922, -110.62963104248047, 14.08682918548584, -31.1529541015625, 11.852858543395996, -31.877294540405273, 23.563827514648438, -11.12332534790039, 4.958433628082275, -4.958413600921631, -10.63935375213623, -2.056004285812378, 4.019510746002197, -0.84317547082901, -0.013592609204351902, 5.554299831390381, -0.022320792078971863, 4.281130790710449, -2.042971611022949, 2.6632239818573, 0.35744509100914, -0.6922094821929932, 0.15363959968090057, 0.12176252156496048, 0.1265011429786682, -0.4437257945537567, 0.5052088499069214, 0.0005225192871876061, -0.12807315587997437, 0.0898272767663002, -0.12731516361236572, 0.10067833214998245, 0.326795756816864, 0.05400536209344864, -0.161695197224617, -0.1879717856645584, 0.21411795914173126, 0.0004914264427497983, -0.07019467651844025, -5.803391933441162, -2.9390218257904053, 1.3455387353897095, 0.12965069711208344, 0.15607957541942596, 0.11865976452827454, 0.5394333600997925, 0.09482935816049576, 0.09546738862991333, 0.17354343831539154, -0.16439883410930634, 0.35088565945625305, 0.13351036608219147, -0.04305814951658249, -0.2898511290550232, -0.022501640021800995, -0.19338935613632202, -0.009982623159885406, 0.11996550858020782, -0.02010704204440117, 2280.232073978159, 0.023582076653838158, 3550.4746547965115]",63,cat
